Model,Road,Scenario_ID,Parameter,Matched,Success,Difference,Robustness
mistral-7b-instruct-4k,Road3,42,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,43,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,43,Rotation,2.5,5.0,5.0,2.5
mistral-7b-instruct-4k,Road3,43,Velocity,2.5,5.0,5.0,2.5
mistral-7b-instruct-4k,Road3,43,Angular Velocity,4.5,5.25,1.5,8.25
mistral-7b-instruct-4k,Road3,44,Position,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,44,Rotation,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,44,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,44,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,45,Position,0.5,3.0,5.0,-1.5
mistral-7b-instruct-4k,Road3,45,Rotation,0.0,0.5,1.0,-0.5
mistral-7b-instruct-4k,Road3,45,Velocity,0.5,3.0,5.0,-1.5
mistral-7b-instruct-4k,Road3,45,Angular Velocity,1.0,5.5,9.0,-2.5
mistral-7b-instruct-4k,Road3,46,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,46,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,46,Velocity,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,46,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,47,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,47,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,47,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,47,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,48,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,48,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,48,Velocity,3.5,6.75,6.5,3.75
mistral-7b-instruct-4k,Road3,48,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,49,Position,0.0,3.75,7.5,-3.75
mistral-7b-instruct-4k,Road4,49,Rotation,0.0,1.0,2.0,-1.0
mistral-7b-instruct-4k,Road4,49,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,49,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,50,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,50,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,50,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,50,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,51,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,51,Rotation,9.0,9.5,1.0,17.5
mistral-7b-instruct-4k,Road4,51,Velocity,6.0,8.0,4.0,10.0
mistral-7b-instruct-4k,Road4,51,Angular Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road4,52,Position,0.0,3.5,7.0,-3.5
mistral-7b-instruct-4k,Road4,52,Rotation,0.0,3.5,7.0,-3.5
mistral-7b-instruct-4k,Road4,52,Velocity,3.5,6.0,5.0,4.5
mistral-7b-instruct-4k,Road4,52,Angular Velocity,1.5,4.25,5.5,0.25
mistral-7b-instruct-4k,Road4,53,Position,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road4,53,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road4,53,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road4,53,Angular Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road4,54,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,54,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,54,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,54,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,55,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,55,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,55,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,55,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,56,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,56,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,56,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,56,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,57,Position,9.0,9.5,1.0,17.5
mistral-7b-instruct-4k,Road4,57,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,57,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road4,57,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,58,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,58,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road4,58,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,58,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,59,Position,1.0,3.5,5.0,-0.5
mistral-7b-instruct-4k,Road4,59,Rotation,1.0,3.5,5.0,-0.5
mistral-7b-instruct-4k,Road4,59,Velocity,0.0,1.0,2.0,-1.0
mistral-7b-instruct-4k,Road4,59,Angular Velocity,1.5,3.5,4.0,1.0
mistral-7b-instruct-4k,Road4,60,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road4,60,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,60,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,60,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,61,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road4,61,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,61,Velocity,6.0,8.0,4.0,10.0
mistral-7b-instruct-4k,Road4,61,Angular Velocity,1.0,5.5,9.0,-2.5
mistral-7b-instruct-4k,Road4,62,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,62,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,62,Velocity,0.0,1.5,3.0,-1.5
mistral-7b-instruct-4k,Road4,62,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road4,63,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,63,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,63,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,63,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,64,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,64,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,64,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road4,64,Angular Velocity,10.0,10.0,0.0,20.0
